gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene0	7.87	2.56	4.68	9.27	4.33	7.77	7.01	5.48	5.94	2.44	4.3	4.89	0.43	6.15	9.6	8.13	6.76	0.84	7.82	3.83	2.53	1.56	5.02	9.53	4.76	1.73	0.94	9.23	4.56	5.28	3.23	4.96
gene1	4.59	0.76	2.31	6.8	0.35	7.3	3.32	5.28	4.37	9.23	0.02	1.54	9.58	8.41	5.43	5.14	1.46	4.64	1.53	3.68	0.37	5.29	8.07	0.31	8.5	9.37	9.87	7.66	0.44	0.36	0.92	6.13
gene2	6.24	6.96	9.07	9.61	8.31	6.06	7.06	8.66	7.19	5.81	4.78	4.76	8.33	4.78	0.2	0.15	0.7	8.72	0.51	4.78	4.61	2.73	3.4	6.63	2.82	9.63	9.78	5.75	4.61	3.88	0.01	8.21
gene3	8.24	1.84	1.37	8.86	7.58	1.34	3.23	5.83	5.75	3.21	6.47	0.18	0.19	8.11	1.78	4.35	0.15	1.45	6.01	8.35	7.67	8.84	4.81	1.01	0.7	6.15	7.31	2.67	9.34	9.11	6.87	1.03
gene4	5.27	6.11	7.05	3.92	2.55	5.44	1.47	8.47	1.45	2.81	3.99	5.3	2.18	5.67	3.87	0.32	2.47	5.27	8.88	2.23	3.28	7.61	9.84	9.43	7.1	6.8	7.47	0.94	2.89	6.05	8.81	6.35
gene5	4.82	1.85	9.34	2.47	5.02	8.88	2.52	3.52	9.62	7.82	4.93	3.27	1.88	1.33	7.13	6.69	5.84	6.44	6.76	7.39	9.0	8.15	8.4	6.57	8.84	6.85	5.6	5.12	0.0	1.42	9.31	1.27
gene6	4.17	1.58	9.66	7.53	1.99	2.56	9.51	5.44	5.58	5.51	3.85	3.93	9.46	8.01	1.26	8.71	6.9	0.4	1.38	0.95	3.78	4.15	2.21	0.81	9.13	4.92	0.48	7.71	3.22	2.18	4.34	6.65
gene7	6.57	7.18	0.33	5.86	8.09	1.99	4.54	6.83	6.92	0.48	1.54	2.1	1.82	4.88	3.93	1.54	8.46	0.51	5.1	0.69	3.32	4.31	9.48	2.14	3.64	6.61	1.86	5.64	9.54	0.48	8.33	7.27
gene8	1.48	8.78	6.85	7.91	8.19	5.57	4.54	2.95	6.14	5.28	3.82	3.27	7.33	9.86	3.85	8.34	3.16	6.15	9.25	2.81	2.41	3.56	8.37	2.3	0.22	1.9	6.94	0.9	6.71	2.83	3.31	1.09
gene9	7.71	4.58	6.21	7.15	8.83	7.73	0.04	2.92	5.3	7.5	8.99	4.69	9.01	4.02	5.81	8.42	8.19	6.88	0.19	0.79	1.15	4.98	3.98	2.82	1.12	6.74	8.83	7.71	5.22	7.04	4.49	4.07
gene10	1.85	2.88	8.21	3.49	5.28	8.85	6.15	2.14	3.39	4.73	1.91	7.35	4.76	1.13	2.48	9.03	4.3	5.29	8.15	3.63	9.4	7.73	4.06	9.55	2.71	4.11	2.96	0.68	1.65	9.01	4.44	1.59
gene11	8.58	0.97	6.01	0.18	2.04	3.79	4.64	3.31	5.01	4.82	0.59	1.97	2.36	1.48	0.89	5.94	1.04	7.16	8.61	0.91	7.5	0.18	2.44	6.1	7.98	5.89	6.15	7.78	8.26	7.4	0.31	0.2
gene12	6.81	1.71	5.1	2.36	6.18	5.27	6.43	1.28	4.1	2.14	0.21	7.88	1.37	0.4	6.03	2.87	5.42	3.46	2.76	7.32	2.22	5.94	1.61	8.51	2.22	6.02	1.77	0.75	6.93	7.63	6.89	9.05
gene13	2.67	5.86	9.52	4.58	9.28	4.68	0.7	9.72	2.0	6.95	3.38	5.08	4.21	1.42	1.34	3.7	6.37	0.48	2.54	0.49	4.7	2.14	7.59	3.27	4.63	4.85	5.53	5.18	9.82	4.79	3.44	1.73
gene14	7.41	1.79	0.78	3.94	4.7	2.4	4.01	2.71	4.07	7.36	7.5	3.82	8.17	2.96	8.94	0.86	3.97	9.17	9.43	6.88	3.94	2.0	5.62	7.59	7.39	6.85	9.02	3.87	7.91	5.61	3.11	0.7
gene15	9.87	1.3	2.95	7.99	5.29	7.84	6.19	7.38	0.61	8.19	7.86	2.47	4.07	1.35	0.42	8.06	1.87	1.79	3.15	7.03	1.66	0.82	7.71	0.32	6.62	9.49	5.47	0.18	1.47	8.8	9.08	2.97
gene16	0.69	7.74	2.85	8.47	5.6	9.05	0.72	5.38	2.37	1.72	0.4	7.94	9.16	9.44	0.12	3.01	7.34	0.54	0.81	6.43	8.45	5.9	2.45	9.92	2.51	6.59	8.4	2.06	0.61	6.41	3.78	9.58
gene17	7.13	2.31	10.0	4.13	7.06	4.39	7.22	0.02	5.95	8.6	3.42	6.19	0.91	9.09	9.8	1.98	1.2	4.21	1.41	9.21	6.88	7.79	7.41	0.09	7.92	4.6	0.97	3.3	1.55	4.74	0.58	5.52
gene18	3.88	0.19	7.08	2.28	3.06	0.44	1.67	0.24	4.34	1.88	7.16	6.42	3.52	2.75	5.8	8.99	3.57	7.08	1.66	3.34	2.68	7.0	0.61	4.35	3.8	7.88	8.89	6.72	0.77	7.36	9.19	8.12
gene19	9.65	8.81	3.26	8.81	1.88	6.21	6.81	5.58	6.42	6.63	7.25	2.85	7.36	2.11	5.46	3.81	2.43	9.81	0.7	8.24	7.73	5.35	7.1	2.11	8.67	4.31	4.2	1.4	5.88	1.46	3.96	5.9
gene20	3.71	2.74	9.77	6.32	4.28	5.03	0.64	0.38	5.91	7.48	5.66	7.69	6.7	8.29	2.44	2.03	1.5	1.19	0.45	4.47	2.22	3.24	7.0	2.16	4.93	2.17	8.26	0.47	3.14	7.05	2.49	3.01
gene21	8.28	5.65	3.92	2.51	8.87	2.16	6.21	7.41	7.46	8.91	6.6	4.78	7.8	3.83	7.97	5.29	6.35	8.22	5.14	7.73	3.15	4.3	6.66	0.72	7.93	4.92	6.16	5.48	3.04	0.66	3.6	8.93
gene22	4.57	7.86	5.03	6.47	8.54	1.64	8.63	2.52	1.28	6.37	4.29	9.48	7.21	4.54	6.09	2.53	0.53	9.43	10.0	4.99	5.08	5.37	6.83	4.99	3.94	4.36	1.45	9.37	6.19	7.22	8.62	3.79
gene23	7.88	6.12	0.9	3.12	6.01	6.84	0.6	3.13	8.24	1.63	8.26	5.97	3.83	9.86	6.1	7.83	6.93	7.07	0.28	4.58	9.78	3.31	8.89	3.62	4.21	0.35	0.56	0.49	2.12	5.3	4.3	1.58
gene24	6.21	8.48	6.79	8.01	0.82	4.66	2.27	7.28	1.5	1.42	3.38	5.45	0.75	0.0	6.46	4.52	3.91	9.78	5.42	3.15	0.15	7.07	9.61	7.08	1.81	7.54	3.1	0.9	6.86	4.74	3.54	1.6
gene25	8.28	1.85	6.31	4.08	5.72	2.09	1.56	3.41	7.01	9.9	0.15	9.69	6.39	8.7	9.76	8.76	4.53	1.99	6.4	3.01	5.7	9.15	6.17	6.47	5.61	4.92	8.28	2.85	0.03	3.55	8.17	3.64
gene26	2.49	2.5	1.81	7.84	7.59	0.47	9.53	9.31	8.47	4.47	6.82	5.93	4.18	5.98	8.49	1.62	6.23	4.9	3.17	0.84	5.18	4.74	8.17	3.06	7.86	5.05	4.68	6.62	5.94	0.54	4.75	2.3
gene27	6.7	5.01	1.85	2.63	4.98	9.08	4.75	0.11	9.64	3.54	5.28	3.09	1.7	5.61	7.8	9.29	2.07	4.01	0.9	7.99	4.32	6.87	0.18	4.93	3.26	6.43	0.2	4.44	6.37	7.05	9.77	0.54
